"id","m_element","meaning"
"1","亜","Asia"
"2","亜","rank next"
"3","亜","come after"
"4","亜","-ous"
"5","唖","mute"
"6","唖","dumb"
"7","娃","beautiful"
"8","阿","Africa"
"9","阿","flatter"
"10","阿","fawn upon"
"11","阿","corner"
"12","阿","nook"
"13","阿","recess"
"14","哀","pathetic"
"15","哀","grief"
"16","哀","sorrow"
"17","哀","pathos"
"18","哀","pity"
"19","哀","sympathize"
"20","愛","love"
"21","愛","affection"
"22","愛","favourite"
"23","挨","approach"
"24","挨","draw near"
"25","挨","push open"
"26","姶","good-looking"
"27","姶","quiet"
"28","逢","meeting"
"29","逢","tryst"
"30","逢","date"
"31","逢","rendezvous"
"32","葵","hollyhock"
"33","茜","madder"
"34","茜","red dye"
"35","茜","Turkey red"
"36","穐","autumn"
"37","悪","bad"
"38","悪","vice"
"39","悪","rascal"
"40","悪","false"
"41","悪","evil"
"42","悪","wrong"
"43","握","grip"
"44","握","hold"
"45","握","mould sushi"
"46","握","bribe"
"47","渥","kindness"
"48","渥","moisten"
"49","旭","rising sun"
"50","旭","morning sun"
"51","葦","reed"
"52","葦","bullrush"
"53","芦","reed"
"54","芦","bullrush"
"55","鯵","horse mackerel"
"56","梓","catalpa tree"
"57","梓","woodblock printing"
"58","圧","pressure"
"59","圧","push"
"60","圧","overwhelm"
"61","圧","oppress"
"62","圧","dominate"
"63","斡","go around"
"64","斡","rule"
"65","斡","administer"
"66","扱","handle"
"67","扱","entertain"
"68","扱","thresh"
"69","扱","strip"
"70","宛","address"
"71","宛","just like"
"72","宛","fortunately"
"73","姐","elder sister"
"74","姐","maidservant"
"75","虻","gadfly"
"76","虻","horsefly"
"77","飴","rice jelly"
"78","飴","candy"
"79","絢","brilliant fabric design"
"80","綾","design"
"81","綾","figured cloth"
"82","綾","twill"
"83","鮎","freshwater trout"
"84","鮎","smelt"
"85","或","some"
"86","或","one"
"87","或","or"
"88","或","possibly"
"89","或","a certain"
"90","粟","millet"
"91","袷","lined (kimono)"
"92","安","relax"
"93","安","cheap"
"94","安","low"
"95","安","quiet"
"96","安","rested"
"97","安","contented"
"98","安","peaceful"
"99","庵","hermitage"
"100","庵","retreat"
"101","按","hold"
"102","按","consider"
"103","按","investigate"
"104","暗","darkness"
"105","暗","disappear"
"106","暗","shade"
"107","暗","informal"
"108","暗","grow dark"
"109","暗","be blinded"
"110","案","plan"
"111","案","suggestion"
"112","案","draft"
"113","案","ponder"
"114","案","fear"
"115","案","proposition"
"116","案","idea"
"117","案","expectation"
"118","案","worry"
"119","案","table"
"120","案","bench"
"121","闇","get dark"
"122","闇","gloom"
"123","闇","disorder"
"124","鞍","saddle"
"125","杏","apricot"
"126","以","by means of"
"127","以","because"
"128","以","in view of"
"129","以","compared with"
"130","伊","Italy"
"131","伊","that one"
"132","位","rank"
"133","位","grade"
"134","位","throne"
"135","位","crown"
"136","位","about"
"137","位","some"
"138","依","reliant"
"139","依","depend on"
"140","依","consequently"
"141","依","therefore"
"142","依","due to"
"143","偉","admirable"
"144","偉","greatness"
"145","偉","remarkable"
"146","偉","conceited"
"147","偉","famous"
"148","偉","excellent"
"149","囲","surround"
"150","囲","besiege"
"151","囲","store"
"152","囲","paling"
"153","囲","enclosure"
"154","囲","encircle"
"155","囲","preserve"
"156","囲","keep"
"157","夷","barbarian"
"158","夷","savage"
"159","夷","Ainu"
"160","委","committee"
"161","委","entrust to"
"162","委","leave to"
"163","委","devote"
"164","委","discard"
"165","威","intimidate"
"166","威","dignity"
"167","威","majesty"
"168","威","menace"
"169","威","threaten"
"170","尉","military officer"
"171","尉","jailer"
"172","尉","old man"
"173","尉","rank"
"174","惟","consider"
"175","惟","reflect"
"176","惟","think"
"177","意","idea"
"178","意","mind"
"179","意","heart"
"180","意","taste"
"181","意","thought"
"182","意","desire"
"183","意","care"
"184","意","liking"
"185","慰","consolation"
"186","慰","amusement"
"187","慰","seduce"
"188","慰","cheer"
"189","慰","make sport of"
"190","慰","comfort"
"191","慰","console"
"192","易","easy"
"193","易","ready to"
"194","易","simple"
"195","易","fortune-telling"
"196","易","divination"
