"id","k_element","old_jlpt","new_jlpt"
"1","亜","1","1"
"4","阿","1","1"
"5","哀","1","1"
"6","愛","2","3"
"10","葵","1","1"
"11","茜","1","1"
"13","悪","3","4"
"14","握","1","1"
"15","渥","1","1"
"16","旭","1","1"
"20","梓","1","1"
"21","圧","2","2"
"23","扱","1","1"
"28","絢","1","1"
"29","綾","1","1"
"30","鮎","1","1"
"34","安","4","4"
"37","暗","3","3"
"38","案","2","1"
"41","杏","1","1"
"42","以","3","4"
"43","伊","1","1"
"44","位","2","3"
"45","依","2","2"
"46","偉","2","3"
"47","囲","2","2"
"49","委","2","2"
"50","威","1","1"
"51","尉","1","1"
"52","惟","1","1"
"53","意","3","4"
"54","慰","1","1"
"55","易","2","3"
"57","為","1","1"
"59","異","2","1"
"60","移","2","2"
"61","維","1","1"
"62","緯","1","1"
"63","胃","2","2"
"65","衣","2","2"
"67","違","2","3"
"68","遺","1","1"
"69","医","3","4"
"70","井","1","1"
"71","亥","1","1"
"72","域","2","2"
"73","育","2","3"
"74","郁","1","1"
"75","磯","1","1"
"76","一","4","5"
"77","壱","1","1"
"79","逸","1","1"
"80","稲","1","1"
"82","芋","1","1"
"84","允","1","1"
"85","印","2","2"
"87","員","3","4"
"88","因","2","3"
"89","姻","1","1"
"90","引","3","3"
"91","飲","4","4"
"93","胤","1","1"
"95","院","3","4"
"96","陰","1","1"
"97","隠","1","1"
"98","韻","1","1"
"100","右","4","5"
"101","宇","2","2"
"103","羽","2","2"
"105","雨","4","5"
"106","卯","1","1"
"109","丑","1","1"
"112","渦","1","1"
"114","唄","1","1"
"120","浦","1","1"
"125","運","3","4"
"126","雲","2","2"
"129","叡","1","1"
"130","営","2","2"
"132","影","1","1"
"133","映","3","4"
"135","栄","2","2"
"136","永","2","2"
"137","泳","2","3"
"139","瑛","1","1"
"143","英","3","4"
"144","衛","1","1"
"145","詠","1","1"
"146","鋭","2","2"
"147","液","2","2"
"148","疫","1","1"
"149","益","1","1"
"150","駅","4","4"
"151","悦","1","1"
"152","謁","1","1"
